Functional module	KEGG KO ID	Annotation	Reference
Carbon fixation (Prok)	K13788	phosphate acetyltransferase [EC:2.3.1.8]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00024	malate dehydrogenase [EC:1.1.1.37]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15039	3-hydroxypropionate dehydrogenase (NADP+)	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15037	biotin carboxyl carrier protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K09709	mesaconyl-C4 CoA hydratase	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14472	succinyl-CoA:(S)- malate CoA transferase subunit B [EC:2.8.3.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14470	mesaconyl-CoA C1-C4 CoA transferase	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K05299	formate dehydrogenase alpha subunit [EC:1.2.1.43]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15232	citryl-CoA synthetase large subunit [EC:6.2.1.18]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00240	succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:5.3.3.3 4.2.1.120]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15231	ATP-citrate lyase beta-subunit [EC:2.3.3.8]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00245	fumarate reductase iron-sulfur subunit [EC:1.3.99.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00244	fumarate reductase flavoprotein subunit [EC:1.3.99.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01676	fumarate hydratase, class I [EC:4.2.1.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01007	pyruvate, water dikinase [EC:2.7.9.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01679	fumarate hydratase, class II [EC:4.2.1.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01966	propionyl-CoA carboxylase beta chain [EC:6.4.1.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01964	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.3 6.4.1.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00925	acetate kinase [EC:2.7.2.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.3.4.14 6.4.1.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15023	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15024	propanediol utilization protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00169	pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14449	mesaconyl-CoA hydratase	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:5.1.2.3 4.2.1.17 1.1.1.35]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02409	flagellar M-ring protein FliF	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02401	flagellar biosynthetic protein FlhB	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02394	flagellar P-ring protein precursor FlgI	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02397	flagellar hook-associated protein 3 FlgL	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02396	flagellar hook-associated protein 1 FlgK	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02391	flagellar basal-body rod protein FlgF	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02390	flagellar hook protein FlgE	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02393	flagellar L-ring protein precursor FlgH	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02392	flagellar basal-body rod protein FlgG	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02386	flagella basal body P-ring formation protein FlgA	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02557	chemotaxis protein MotB	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02556	chemotaxis protein MotA	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02400	flagellar biosynthesis protein FlhA	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02418	flagellar protein FliO/FliZ	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02389	flagellar basal-body rod modification protein FlgD	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02412	flagellum-specific ATP synthase [EC:3.6.3.14]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02387	flagellar basal-body rod protein FlgB	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02410	flagellar motor switch protein FliG	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02411	flagellar assembly protein FliH	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02416	flagellar motor switch protein FliM	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02417	flagellar motor switch protein FliN/FliY	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02407	flagellar hook-associated protein 2	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Flagellar assembly	K02406	flagellin	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Iron-related metabolism	K03594	bfr; bacterioferritin	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02255	ftnB; ferritin-like protein 2	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K16088	ABC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K07490	feoC; ferrous iron transport protein C	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K04759	feoB; ferrous iron transport protein B	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K04758	feoA; ferrous iron transport protein A	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02014	ABC.FEV.OM; iron complex outermembrane recepter protein	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K03711	fur; Fur family transcriptional regulator, ferric uptake regulator	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02012	afuA, fbpA; iron(III) transport system substrate-binding protein	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K03839	fldA, nifF, isiB; flavodoxin I	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02011	afuB, fbpB; iron(III) transport system permease protein	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K16089	ABC.FEV.OM2, fepA, iroN, cirA, pfeA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02010	afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K02217	ftnA, ftn; ferritin [EC:1.16.3.1]	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K16091	fecA; Fe(3+) dicitrate transport protein	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Iron-related metabolism	K00522	FTH1; ferritin heavy chain [EC:1.16.3.1]	E. Toulza, A. Tagliabue, S. Blain, G. Piganeau, Analysis of the Global Ocean Sampling (GOS) Project for Trends in Iron Uptake by Surface Ocean Microbes. PLoS ONE 7, e30931 (2012); published online EpubFebruary 17, 2012 (10.1371/journal.pone.0030931).
Manganese-related metabolism	K11924	mntR; DtxR family transcriptional regulator, manganese transport regulator	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K11521	K11521, manR; two-component system, OmpR family, manganese sensing response regulator	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K03322	mntH; manganese transport protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K11607	sitB; manganese/iron transport system ATP-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K11606	sitD; manganese/iron transport system permease protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K11605	sitC; manganese/iron transport system permease protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Manganese-related metabolism	K11604	sitA; manganese/iron transport system substrate-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K00584	mtrH; tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K04480	mtaB; methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K03390	hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.99.5]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K00577	mtrA; tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K00399	mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Methanogenesis	K00441	frhB; coenzyme F420 hydrogenase beta subunit [EC:1.12.98.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Nitrogen metabolism	K02568	napB; cytochrome c-type protein NapB	S. M. Gifford, S. Sharma, J. M. Rinta-Kanto, M. A. Moran, Quantitative analysis of a deeply sequenced marine microbial metatranscriptome. Isme J 5, 461-472 (2011); published online EpubMar (10.1038/ismej.2010.141).
